StockCode,Description,TotalSold
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,53847
85099B,JUMBO BAG RED RETROSPOT,47363
84879,ASSORTED COLOUR BIRD ORNAMENT,36381
22197,POPCORN HOLDER,36334
21212,PACK OF 72 RETROSPOT CAKE CASES,36039
85123A,WHITE HANGING HEART T-LIGHT HOLDER,35317
23084,RABBIT NIGHT LIGHT,30680
22492,"MINI PAINT SET VINTAGE ",26437
22616,"PACK OF 12 LONDON TISSUES ",26315
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24753
22178,VICTORIAN GLASS HANGING T-LIGHT,23854
15036,ASSORTED COLOURS SILK FAN,23082
17003,"BROCADE RING PURSE ",23053
21915,"RED  HARMONICA IN BOX ",21866
22386,JUMBO BAG PINK POLKADOT,21009
22197,SMALL POPCORN HOLDER,20116
22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",18902
20725,LUNCH BAG RED RETROSPOT,18779
84991,60 TEATIME FAIRY CAKE CASES,18040
47566,PARTY BUNTING,18022
